DrugId,Drug Name,avg_ic50,Unknown num
35,NVP-TAE684,0.9236162455545531,360
1010,Gefitinib,0.943912351793713,19
1218,JQ1,0.9613403657620604,22
219,AT-7519,0.9822932074709636,41
282,Pelitinib,1.0569059048828326,38
1527,Pictilisib,1.097117133543525,28
1012,Vorinostat,1.1289673307362724,18
88,Entinostat,1.1768678834477624,94
1239,YK-4-279,1.1875825202465058,19
1526,Refametinib,1.2564715106745024,30
32,Tozasertib,1.3027867710655505,287
1264,SGC0946,1.4037483003404405,11
41,S-Trityl-L-cysteine,1.4425181869294617,364
55,A-770041,1.4854809879928252,363
29,AZ628,1.4900306798209828,363
159,HG6-64-1,1.5633752548469688,53
1498,Selumetinib,1.5750503517756953,25
1243,Piperlongumine,1.5799222703902953,17
56,WH-4-023,1.6278170049190521,366
119,Lapatinib,1.6506708523289102,79
1053,MK-2206,1.6678743633893456,20
38,Saracatinib,1.6732127301208155,359
204,Tipifarnib,1.7146556313548769,56
1,Erlotinib,1.7287702146329378,81
228,AKT inhibitor VIII,1.7318899218852704,91
1011,Navitoclax,1.7501951343872968,17
310,YM201636,1.7639198218073164,35
134,Etoposide,1.7690241418632806,51
254,Quizartinib,1.774137214610451,38
1019,Bosutinib,1.8038664186702056,20
301,PHA-793887,1.8213326141640946,37
1015,CI-1040,1.8742108722527822,90
303,PIK-93,1.880969876902444,35
1054,Palbociclib,1.8854476761817933,19
1192,GSK269962A,1.8854896742286105,303
1037,BX795,1.8877345968695247,66
1377,Afatinib,1.942243536002934,26
175,PAC-1,1.9525902466695817,61
158,PF-562271,1.9697201600441565,65
1046,Wee1 Inhibitor,1.9923372662912204,30
1021,Axitinib,2.0037111201505553,18
306,Fedratinib,2.0101846166559167,37
1259,Talazoparib,2.0299636891910007,10
30,Sorafenib,2.0404994638826564,79
167,OSU-03012,2.0737903003107037,57
202,GSK1904529A,2.0917135956031934,13
64,CMK,2.1075808823436173,364
166,FTI-277,2.1310862980636895,51
1262,UNC1215,2.139632886106318,44
277,Linifanib,2.1500889658927917,37
173,FH535,2.1533304703863045,57
1050,ZM447439,2.1542572750957736,28
152,CP466722,2.1545050065768394,38
1091,BMS-536924,2.1732062313592797,83
1219,PFI-1,2.182858335560766,5
1038,NU7441,2.2000079581683334,19
178,BAY-61-3606,2.2230845811003346,59
52,GNF-2,2.226284004174746,364
260,NG-25,2.252846428326198,35
1066,AZD6482,2.255395712635734,71
207,AS601245,2.273704093078087,58
185,Linsitinib,2.3377039956635444,13
1378,Bleomycin,2.353892666101456,18
1049,PD173074,2.4490768036176993,18
37,Crizotinib,2.5189692767130003,76
106,XMD8-85,2.522303540687092,366
1023,GW441756,2.5399379411409067,19
229,Enzastaurin,2.54809201547974,38
222,BX-912,2.560127818906629,37
249,Cabozantinib,2.604304885864258,35
295,NVP-BHG712,2.651342947142465,35
326,GSK690693,2.6524978509316077,39
262,VX-11e,2.6525248612676346,10
305,TPCA-1,2.6558034079415456,35
203,BMS-345541,2.661176282006341,12
54,CGP-082996,2.6878088180507933,364
5,Sunitinib,2.6891241599242766,364
287,KIN001-244,2.7003467849322726,35
1029,Motesanib,2.7066985537024104,19
6,PHA-665752,2.712200046249751,359
1373,Dabrafenib,2.7147819995880127,16
1133,Serdemetan,2.7151349561159,7
300,CX-5461,2.7597628954129343,39
1164,XMD8-92,2.7888822802731825,299
275,I-BET-762,2.8500384275729838,15
1236,UNC0638,2.8737733006477355,44
1170,CCT-018159,2.8883653642996303,37
1028,VX-702,2.8904457342895595,88
1013,Nilotinib,2.891792138417562,29
89,Parthenolide,2.908302844222126,366
34,Imatinib,2.9379274024936812,359
224,AS605240,2.9807017473947433,42
291,KIN001-266,3.0003821917942592,35
172,Embelin,3.02470845525915,55
1005,Cisplatin,3.064680042654969,37
1268,XAV939,3.0789288759231566,13
63,BMS-509744,3.0869059671055186,363
1241,CHIR-99021,3.1058823129405146,62
1052,RO-3306,3.2536330096861894,19
94,TGX221,3.2634324135845656,365
293,Amuvatinib,3.2902192030197535,39
1175,Rucaparib,3.302751416251773,7
1199,Tamoxifen,3.3177040853808,5
179,5-Fluorouracil,3.3192049127358656,12
1502,Bicalutamide,3.3655612428309554,88
1047,Nutlin-3a (-),3.4155021085458643,17
199,Pazopanib,3.420525157855729,59
177,GSK650394,3.4270607682525136,61
151,QS11,3.4412513566868648,56
292,Masitinib,3.472426298417543,38
1129,PF-4708671,3.494518698586358,27
1061,SB590885,3.5031264971212015,21
1069,EHT-1864,3.50545535943447,6
281,Alectinib,3.5147587374637,38
1495,Olaparib,3.5222180929399074,29
294,MPS-1-IN-1,3.542703989573887,35
269,NSC-207895,3.564080062508583,40
186,Bexarotene,3.5754584738465605,61
271,VNLG/124,3.57840718626976,40
71,Pyrimethamine,3.604043023227012,365
298,OSI-930,3.6657556326765763,38
59,WZ-1-84,3.67857457615517,364
1030,KU-55933,3.6982538159503493,19
255,CP724714,3.7134177781440116,37
288,WHI-P97,3.725515787942069,35
111,Salubrinal,3.7476607711347816,365
91,GSK319347A,3.800823408283599,365
1020,Lenalidomide,3.8252141629948335,20
1194,SB505124,3.8331945327020462,16
1018,Veliparib,3.841372090716695,20
1072,Avagacestat,3.8735512924194335,17
238,Idelalisib,3.8755365803435042,37
1009,Tretinoin,3.8819867451985677,70
1067,CCT007093,3.8930218636989595,6
221,TAK-715,3.8958127563064164,37
304,SB52334,3.9007757571008472,36
110,Seliciclib,3.919604453884187,366
1371,PLX-4720,4.000192213443018,27
206,Ruxolitinib,4.02105248296583,12
333,T0901317,4.0294295520317265,41
279,BIX02189,4.047410474504743,35
1042,Doramapimod,4.060859250498342,19
290,KIN001-260,4.1353207860674175,35
309,Y-39983,4.1402030944824215,35
258,STF-62247,4.243094597107325,39
1025,SB216763,4.254655438920726,34
176,IPA-3,4.284320230023903,57
192,LFM-A13,4.313447288104466,56
265,Tubastatin A,4.332193325727414,39
1033,Vismodegib,4.354509356410005,20
1043,JNK Inhibitor VIII,4.361632654036598,20
1039,SL0101,4.367029531796773,71
1530,PFI-3,4.453474988256182,70
345,KIN001-270,4.487984037399292,35
230,GSK429286A,4.685454948528393,37
263,FR-180204,4.783216054098947,35
147,NSC-87877,4.900772517582156,53
193,GW-2580,5.083895953925881,37
341,Selisistat,5.297582900524139,40
266,Zibotentan,5.317256954738072,35
1375,Temozolomide,5.380050055185953,11
1114,Cetuximab,6.084440164268017,64
165,DMOG,6.845353099535096,53
1001,AICA Ribonucleotide,7.529770892153504,93
196,Phenformin,7.676541935313832,44
